Model,Scale,Input_Size,Output_Size,Samples,psnr_mean,psnr_std,psnr_median,psnr_min,psnr_max,ssim_mean,ssim_std,ssim_median,ssim_min,ssim_max,ms_ssim_mean,ms_ssim_std,ms_ssim_median,ms_ssim_min,ms_ssim_max,mse_mean,mse_std,mse_median,mse_min,mse_max,perceptual_index_mean,perceptual_index_std,perceptual_index_median,perceptual_index_min,perceptual_index_max
128to256,×2,128px,256px,1000,25.42252723691268,3.748381373175792,24.788657077325436,19.660926194301343,53.9791233033801,0.8015943683932799,0.0569793822492416,0.8031610118630426,0.5198671343587583,0.9982066866795396,0.9748015875816345,0.009616170246704915,0.9759601950645447,0.911971151828766,0.9994691014289856,0.003475635679669444,0.0016603987017091272,0.00331636436749245,3.6979861306463135e-06,0.0108229434117674,0.005669945273904836,0.0014498142053788214,0.005763632711023051,7.038367039058357e-05,0.0100418841466307
256to512,×2,256px,512px,1000,28.562197882558948,3.414793687027193,28.084388846376896,23.61275776152716,49.48190142076142,0.8469102596423138,0.044928538569490355,0.8479612914204895,0.7207289885323261,0.9919979059141724,0.9820964016914367,0.00669808747990039,0.9828701913356781,0.95552259683609,0.998656451702118,0.0016742329082462177,0.000814559955504019,0.0015506680356338,8.885018360160757e-06,0.0043489499948918,0.0039586865671444186,0.0009155055960493703,0.0040283796843141005,0.0002634614356793,0.0067397058010101
512to1024,×2,512px,1024px,1000,32.8944761944398,2.789402172675571,32.595484830499004,28.796920606568825,49.61782128685803,0.911706084117749,0.023079336397863373,0.9127165417150833,0.8425057006319324,0.9961884949107443,0.9599225538372993,0.010998992878282668,0.9617545008659363,0.8970270156860352,0.995518147945404,0.0005853572651948938,0.00025537564836245364,0.00054530016495845,7.39224924473092e-06,0.0013128052232787,0.002765812913668874,0.0006064495667954371,0.00276782817672935,0.0001759509759722,0.0044784927740693
64to128,×2,64px,128px,1000,23.18529610056607,4.1883049519842075,22.330876417896572,17.73224106722732,53.98907044312388,0.7414473468297295,0.0770623223149716,0.744152998744073,0.3941233709286068,0.999028640260196,0.9543381598591805,0.01881518152086909,0.9556616842746735,0.8497319221496582,0.9998998045921326,0.005968465199533918,0.002887291640579834,0.0058519153390079,2.8988260964979418e-06,0.0168720670044422,0.008214076051934121,0.0021568499605282344,0.00838766014203425,2.456774927850347e-05,0.0135315861552953
