model_name,psnr,ssim,ms_ssim,mse,perceptual_index,scale_factor,input_resolution,mean_time_ms,fps
128to256,25.42252723691268,0.80159436839328,0.9748015875816345,0.003475635679669444,0.005669945273904837,2.0,128.0,4467.522624684498,0.2238377024605715
256to512,28.562197882558948,0.8469102596423138,0.9820964016914367,0.001674232908246218,0.0039586865671444186,2.0,256.0,14890.868646269664,0.0671552495529205
512to1024,32.89447619443979,0.911706084117749,0.9599225538372993,0.0005853572651948938,0.002765812913668874,2.0,512.0,10474.15965356864,0.0954730530252411
64to128,23.185296100566067,0.7414473468297296,0.9543381598591805,0.005968465199533918,0.008214076051934121,2.0,64.0,1405.9683868475258,0.7112535454955772
