,psnr,ssim,ms_ssim,mse,perceptual_index,scale_factor,input_resolution,target_resolution
psnr,1.0,0.7920963371964066,0.23776533778956682,-0.8226933782993491,-0.8628983843180176,,0.7071303407695817,0.7071303407695817
ssim,0.7920963371964066,1.0,0.5490160203503971,-0.7311490684630803,-0.8788385289264473,,0.7283724526000505,0.7283724526000505
ms_ssim,0.23776533778956682,0.5490160203503971,1.0,-0.3251151218371987,-0.4630900974709775,,-0.028781123631834674,-0.028781123631834674
mse,-0.8226933782993491,-0.7311490684630803,-0.3251151218371987,1.0,0.9073192883547715,,-0.6853782209651117,-0.6853782209651117
perceptual_index,-0.8628983843180176,-0.8788385289264473,-0.4630900974709775,0.9073192883547715,1.0,,-0.7415510311538892,-0.7415510311538892
scale_factor,,,,,,,,
input_resolution,0.7071303407695817,0.7283724526000505,-0.028781123631834674,-0.6853782209651117,-0.7415510311538892,,1.0,1.0
target_resolution,0.7071303407695817,0.7283724526000505,-0.028781123631834674,-0.6853782209651117,-0.7415510311538892,,1.0,1.0
